product_name,retail_price,discounted_price,product_rating,overall_rating,category
Belle Gambe Boots,3999.0,1765.0,,,Footwear
Remson India Boots,3999.0,1999.0,,,Footwear
Steppings Trendy Boots,1599.0,639.0,,,Footwear
,,,,,Others
,,,,,Others
No rating available,,,,,Others
Jacques Farel KWD2324 Analog Watch  - For Boys,2850.0,1567.0,,,Watches
Rialto Boots,2795.0,1800.0,,,Footwear
Salt N Pepper 13-455 Pisa Black Boots,4995.0,3746.0,,,Footwear
"Oxter Chrono Blue Italia Analog Watch  - For Men, Boys",999.0,299.0,,,Watches
,,,,,Others
,,,,,Others
No rating available,,,,,Others
Klaur Melbourne Boots,3499.0,1574.0,,,Footwear
"Positif Pfbk612 Analog Watch  - For Men, Boys",1100.0,800.0,,,Watches
Selfie Boots,1200.0,599.0,,,Footwear
"D'SIGNER 688RGM _BRN Analog Watch  - For Men, Boys",8995.0,8545.0,,,Watches
Salt N Pepper 13-019 Femme Taupe Boots Boots,4195.0,2050.0,,,Footwear
,,,,,Others
,,,,,Others
No rating available,,,,,Others
"Franck Bella FB127A Analog Watch  - For Boys, Men",1250.0,999.0,,,Watches
Get Glamr Stylish Boots,1999.0,499.0,,,Footwear
"Felix 3541 W-S METAL Analog Watch  - For Boys, Girls",1350.0,555.0,,,Watches
Steppings Trendy Boots,1799.0,719.0,,,Footwear
,,,,,Others
,,,,,Others
4,,,,,Others
Steppings Boots Boots,3199.0,2559.0,,,Footwear
"Skmei DG0939-Red Sports Digital Watch  - For Men, Boys",1499.0,999.0,,,Watches
Do Bhai Boots,799.0,699.0,,,Footwear
,,,,,Others
,,,,,Others
,,,,,Others
"Vizion 8502-4BLUE Sports Series Digital Watch  - For Boys, Girls",1095.0,595.0,,,Watches
Steppings Boots Boots,3199.0,2559.0,,,Footwear
Steppings Trendy Boots,3499.0,2099.0,,,Footwear
Sam Stefy Boots,1050.0,449.0,,,Footwear
,,,,,Others
,,,,,Others
,,,,,{{Occasion
TEN TEN Women's Tan Mid Length Boots Boots,4495.0,1895.0,,,Footwear
,,,,,Others
,,,,,Others
,,,,,Others
Remson India Boots,3999.0,1999.0,,,Footwear
Get Glamr Dazzle Boots,3499.0,499.0,,,Footwear
"Jack Klein Goldjack Analog Watch  - For Boys, Men",1999.0,262.0,,,Watches
Dearfoams Boots,1820.0,1820.0,,,Footwear
,,,,,Others
,,,,,Others
5,,,,,Others
"fastrack 38015PL01 Analog Watch  - For Men, Boys",2495.0,2495.0,,,Watches
Kielz Ladies Boots,2799.0,1299.0,,,Footwear
"A Avon PK_504 Analog Watch  - For Men, Boys",2499.0,1249.0,,,Watches
Kielz Ladies Boots,1999.0,999.0,,,Footwear
